City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,297.29,87,35,3.3,EC,1702257885
1,gagliano del capo,39.8442,18.3695,282.83,93,89,5.66,IT,1702257885
2,pirane,-25.7324,-59.1088,293.77,83,0,1.86,AR,1702257885
3,sihanoukville,10.6093,103.5296,300.12,89,40,2.06,KH,1702257885
4,longyearbyen,78.2186,15.6401,273.06,74,75,5.66,SJ,1702257784
5,atafu village,-8.5421,-172.5159,301.93,76,100,6.05,TK,1702257885
6,blackmans bay,-43.0167,147.3167,295.66,52,8,0.89,AU,1702257885
7,ibotirama,-12.1853,-43.2206,300.19,39,76,1.32,BR,1702257885
8,naraina,26.7833,75.2,285.98,35,0,1.53,IN,1702257885
9,udachny,66.4167,112.4,247.08,95,100,5.35,RU,1702257770
10,tidjikja,18.5564,-11.4271,292.61,24,4,6.63,MR,1702257761
11,tura,25.5198,90.2201,287.14,62,0,1.43,IN,1702257771
12,waitangi,-43.9535,-176.5597,284.79,59,0,2.24,NZ,1702257755
13,port mathurin,-19.6833,63.4167,299.21,76,100,3.69,MU,1702257759
14,boquira,-12.8231,-42.7306,296.32,53,1,2.48,BR,1702257886
15,enewetak,11.3474,162.3373,300.87,76,100,8.19,MH,1702257764
16,port-aux-francais,-49.35,70.2167,277.16,79,74,9.47,TF,1702257754
17,makokou,0.5738,12.8642,294.97,96,100,1.23,GA,1702257886
18,tchintabaraden,15.8969,5.7985,290.67,25,0,7.14,NE,1702257795
19,yellowknife,62.456,-114.3525,261.44,92,100,8.23,CA,1702257534
20,wailua homesteads,22.0669,-159.378,299.59,79,20,4.12,US,1702257886
21,pokhara,28.2333,83.9833,284.8,51,5,2.02,NP,1702257303
22,northam,51.0333,-4.2167,285.18,86,56,11.65,GB,1702257886
23,ribeira grande,38.5167,-28.7,290.8,72,100,8.05,PT,1702257816
24,tshabong,-26.05,22.45,293.26,21,4,3.53,BW,1702257886
25,mount pearl,47.5166,-52.7813,271.66,91,0,3.6,CA,1702257598
26,olonkinbyen,70.9221,-8.7187,269.39,61,100,3.9,SJ,1702257767
27,bredasdorp,-34.5322,20.0403,288.29,82,0,1.24,ZA,1702257775
28,invercargill,-46.4,168.35,289.45,46,39,6.72,NZ,1702257759
29,usinsk,65.9939,57.5281,244.3,100,100,0.45,RU,1702257794
30,hawaiian paradise park,19.5933,-154.9731,298.72,93,100,1.54,US,1702257886
31,mount isa,-20.7333,139.5,302.02,39,5,6.17,AU,1702257886
32,margaret river,-33.95,115.0667,295.46,31,0,3.6,AU,1702257810
33,cafayate,-26.073,-65.9761,291.6,81,100,3.65,AR,1702257633
34,puerto natales,-51.7236,-72.4875,279.55,87,63,2.06,CL,1702257887
35,kapuskasing,49.4169,-82.4331,267.2,86,100,4.63,CA,1702257766
36,whitehorse,60.7161,-135.0538,260.58,83,100,2.06,CA,1702257529
37,bilibino,68.0546,166.4372,247.27,98,34,2.14,RU,1702257754
38,papatowai,-46.5619,169.4708,290.61,43,83,6.23,NZ,1702257762
39,iqaluit,63.7506,-68.5145,269.0,79,100,5.66,CA,1702257760
40,chinde,26.8418,88.0763,279.32,75,0,1.84,NP,1702257887
41,poronaysk,49.2167,143.1167,258.71,66,18,4.53,RU,1702257887
42,salalah,17.0151,54.0924,294.2,43,0,2.57,OM,1702257573
43,tolanaro,-25.0319,46.9987,298.19,94,20,7.2,MG,1702257809
44,ancud,-41.8697,-73.8203,285.41,87,100,2.16,CL,1702257569
45,nova sintra,14.8667,-24.7167,296.12,74,100,3.81,CV,1702257887
46,rio grande,-32.035,-52.0986,293.12,88,97,8.14,BR,1702257684
47,aracruz,-19.8203,-40.2733,296.71,89,77,1.19,BR,1702257651
48,constantia,44.1833,28.65,273.54,85,93,4.22,RO,1702257765
49,konnur,16.2,74.75,293.15,62,11,2.13,IN,1702257887
50,grytviken,-54.2811,-36.5092,278.77,93,100,6.73,GS,1702257536
51,vorgashor,67.5833,63.95,248.2,100,100,3.55,RU,1702257533
52,kodiak,57.79,-152.4072,278.88,87,100,6.17,US,1702257695
53,morrope,-6.5417,-80.0111,294.21,75,1,6.83,PE,1702257888
54,mutuali,-14.8706,37.0044,296.54,74,92,2.14,MZ,1702257888
55,aras-asan,8.8908,126.3033,300.91,73,100,1.83,PH,1702257888
56,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,95,75,6.71,RU,1702257755
57,santa cruz,-17.8,-63.1667,299.85,69,75,4.63,BO,1702257736
58,debark',13.1561,37.8981,283.22,48,5,1.13,ET,1702257598
59,college,64.8569,-147.8028,250.07,75,75,0.0,US,1702257756
60,tiksi,71.6872,128.8694,247.52,100,100,2.16,RU,1702257762
61,kingscliff,-28.2667,153.5667,302.44,51,75,5.14,AU,1702257888
62,adamstown,-25.066,-130.1015,294.44,57,0,3.19,PN,1702257533
63,georgetown,5.4112,100.3354,302.11,83,20,2.57,MY,1702257544
64,banganapalle,15.3167,78.2333,292.98,74,64,2.08,IN,1702257888
65,mahibadhoo,3.7833,72.9667,301.55,75,100,3.26,MV,1702257888
66,edinburgh of the seven seas,-37.0676,-12.3116,286.83,70,97,7.42,SH,1702257888
67,coquimbo,-29.9533,-71.3436,289.0,77,0,1.54,CL,1702257888
68,pago pago,-14.2781,-170.7025,302.7,89,75,1.54,AS,1702257888
69,hamilton,39.1834,-84.5333,274.69,80,100,5.14,US,1702257755
70,port alfred,-33.5906,26.891,289.92,94,45,1.45,ZA,1702257888
71,maridi,4.9158,29.4742,295.45,65,64,1.86,SS,1702257889
72,kailua-kona,19.6406,-155.9956,301.13,78,40,2.57,US,1702257771
73,port elizabeth,-33.918,25.5701,288.2,92,0,2.06,ZA,1702257889
74,upington,-28.4478,21.2561,293.36,34,0,4.12,ZA,1702257889
75,yuzhno-kurilsk,44.0306,145.8556,273.91,76,99,6.37,RU,1702257889
